Date : 2022-08-30 08:49:02
Directory : c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend
Total : 204 files,  54648 codes, 1030 comments, 1136 blanks, all 56814 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\app\pages\main\production\schedule                                                                                                  |          4 |        166 |          2 |         18 |        186 |
| src\app\pages\main\production\scheduleselect                                                                                            |          4 |         54 |          0 |         14 |         68 |
| src\app\pages\main\production\technology                                                                                                |          4 |        253 |          3 |         26 |        282 |
| src\app\pages\main\production\texture                                                                                                   |          4 |        272 |         65 |         31 |        368 |
| src\app\pages\main\sales                                                                                                                |         26 |      1,828 |        168 |        167 |      2,163 |
| src\app\pages\main\sales\allorder                                                                                                       |          4 |        183 |          8 |         20 |        211 |
| src\app\pages\main\sales\client                                                                                                         |          4 |        223 |         51 |         20 |        294 |
| src\app\pages\main\sales\clientprice                                                                                                    |          4 |        265 |         16 |         25 |        306 |
| src\app\pages\main\sales\ordereditor                                                                                                    |          4 |        358 |          9 |         29 |        396 |
| src\app\pages\main\sales\ordertypein                                                                                                    |          4 |        325 |          4 |         33 |        362 |
| src\app\pages\main\sales\producteditor                                                                                                  |          4 |        383 |         80 |         33 |        496 |
| src\app\routes                                                                                                                          |         20 |        819 |         62 |         94 |        975 |
| src\app\routes\dashboard                                                                                                                |          2 |          8 |          0 |          3 |         11 |
| src\app\routes\exception                                                                                                                |          4 |         72 |          1 |         15 |         88 |
| src\app\routes\passport                                                                                                                 |         12 |        689 |         17 |         70 |        776 |
| src\app\routes\passport\lock                                                                                                            |          3 |         73 |          0 |          8 |         81 |
| src\app\routes\passport\login                                                                                                           |          3 |        295 |         12 |         29 |        336 |
| src\app\routes\passport\register                                                                                                        |          3 |        263 |          5 |         25 |        293 |
| src\app\routes\passport\register-result                                                                                                 |          2 |         27 |          0 |          3 |         30 |
| src\app\schemas                                                                                                                         |          3 |        113 |          9 |         25 |        147 |
| src\app\services                                                                                                                        |         28 |      1,104 |         61 |        223 |      1,388 |
| src\app\services\api                                                                                                                    |          7 |        296 |          2 |         78 |        376 |
| src\app\services\api\organization                                                                                                       |          3 |        134 |          1 |         37 |        172 |
| src\app\services\api\staffer                                                                                                            |          3 |        153 |          1 |         39 |        193 |
| src\app\services\client                                                                                                                 |          2 |        142 |          0 |         15 |        157 |
| src\app\services\data                                                                                                                   |          2 |         91 |          0 |         16 |        107 |
| src\app\services\db                                                                                                                     |          3 |        173 |         45 |         28 |        246 |
| src\app\services\math                                                                                                                   |          2 |         23 |          0 |          9 |         32 |
| src\app\services\order                                                                                                                  |          2 |        103 |          0 |         17 |        120 |
| src\app\services\pinyin                                                                                                                 |          2 |         31 |          0 |         11 |         42 |
| src\app\services\random                                                                                                                 |          2 |         29 |          0 |          9 |         38 |
| src\app\services\schedule                                                                                                               |          2 |         64 |          0 |         13 |         77 |
| src\app\services\technology                                                                                                             |          2 |        111 |          0 |         14 |        125 |
| src\app\services\utils                                                                                                                  |          2 |         41 |         14 |         13 |         68 |
| src\app\shared                                                                                                                          |         10 |        150 |         20 |         31 |        201 |
| src\app\shared\json-schema                                                                                                              |          3 |         35 |          0 |          9 |         44 |
| src\app\shared\json-schema\test                                                                                                         |          1 |         18 |          0 |          3 |         21 |
| src\app\shared\st-widget                                                                                                                |          2 |         11 |          4 |          5 |         20 |
| src\app\shared\utils                                                                                                                    |          1 |          6 |          5 |          1 |         12 |
| src\app\strategy                                                                                                                        |          1 |         62 |          6 |          9 |         77 |
| src\assets                                                                                                                              |          8 |      3,943 |          4 |          6 |      3,953 |
| src\assets\tmp                                                                                                                          |          1 |        353 |          0 |          1 |        354 |
| src\environments                                                                                                                        |          2 |          6 |         33 |          9 |         48 |
| src\styles                                                                                                                              |          2 |          1 |          8 |          3 |         12 |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\.prettierrc.js                                                                | JavaScript         |         13 |          0 |          1 |         14 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\README-zh_CN.md                                                               | Markdown           |         60 |          0 |         30 |         90 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\README.md                                                                     | Markdown           |         61 |          0 |         30 |         91 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\_mock\README.md                                                               | Markdown           |          1 |          0 |          1 |          2 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\_mock\_user.ts                                                                | TypeScript         |        115 |          0 |          8 |        123 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\_mock\index.ts                                                                | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\angular.json                                                                  | JSON               |         75 |        116 |          1 |        192 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\karma.conf.js                                                                 | JavaScript         |         37 |          6 |          2 |         45 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\ng-alain.json                                                                 | JSON               |         13 |          0 |          1 |         14 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\ngsw-config.json                                                              | JSON               |         13 |         32 |          0 |         45 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\package-lock.json                                                             | JSON               |     42,565 |          0 |          1 |     42,566 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\package.json                                                                  | JSON               |        106 |          0 |          0 |        106 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\proxy.conf.js                                                                 | JavaScript         |          2 |         15 |          1 |         18 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\app-routing.module.ts                                                 | TypeScript         |         16 |          0 |          3 |         19 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\app.component.scss                                                    | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\app.component.ts                                                      | TypeScript         |         17 |         27 |          3 |         47 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\app.module.ts                                                         | TypeScript         |         35 |         77 |         12 |        124 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\core\README.md                                                        | Markdown           |          3 |          0 |          3 |          6 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\core\core.module.ts                                                   | TypeScript         |         11 |          0 |          3 |         14 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\core\index.ts                                                         | TypeScript         |          3 |          0 |          2 |          5 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\core\module-import-guard.ts                                           | TypeScript         |          5 |          1 |          1 |          7 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\core\net\default.interceptor.ts                                       | TypeScript         |        185 |         51 |         25 |        261 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\core\startup\startup.service.ts                                       | TypeScript         |         75 |         24 |         10 |        109 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\global-config.module.ts                                               | TypeScript         |         34 |         28 |         16 |         78 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\icons-provider.module.ts                                              | TypeScript         |         18 |          0 |          4 |         22 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\layout\basic\README.md                                                | Markdown           |          1 |          0 |          1 |          2 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\layout\basic\basic.component.ts                                       | TypeScript         |         79 |          0 |          4 |         83 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\layout\basic\widgets\clear-storage.component.ts                       | TypeScript         |         27 |          0 |          3 |         30 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\layout\basic\widgets\fullscreen.component.ts                          | TypeScript         |         26 |          0 |          4 |         30 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\layout\basic\widgets\search.component.ts                              | TypeScript         |         98 |          0 |         10 |        108 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\layout\basic\widgets\user.component.ts                                | TypeScript         |         45 |          0 |          4 |         49 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\layout\blank\README.md                                                | Markdown           |          1 |          0 |          1 |          2 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\layout\blank\blank.component.ts                                       | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\layout\layout.module.ts                                               | TypeScript         |         59 |          2 |          6 |         67 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\layout\passport\passport.component.html                               | HTML               |         17 |          0 |          1 |         18 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\layout\passport\passport.component.less                               | Less               |         95 |          0 |         18 |        113 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\layout\passport\passport.component.ts                                 | TypeScript         |         27 |          0 |          4 |         31 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\enterprise\enterprise.component.html                      | HTML               |         35 |          0 |          1 |         36 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\enterprise\enterprise.component.scss                      | SCSS               |         51 |          0 |          5 |         56 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\enterprise\enterprise.component.spec.ts                   | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\enterprise\enterprise.component.ts                        | TypeScript         |         76 |          4 |         11 |         91 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\login-routing.module.ts                                   | TypeScript         |         27 |          0 |          3 |         30 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\login.component.html                                      | HTML               |         10 |          0 |          0 |         10 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\login.component.scss                                      | SCSS               |         20 |          0 |          2 |         22 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\login.component.spec.ts                                   | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\login.component.ts                                        | TypeScript         |         49 |          0 |          6 |         55 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\login.module.ts                                           | TypeScript         |         39 |          0 |          2 |         41 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\register\register.component.html                          | HTML               |         85 |          8 |          1 |         94 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\register\register.component.scss                          | SCSS               |         54 |          0 |          6 |         60 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\register\register.component.spec.ts                       | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\register\register.component.ts                            | TypeScript         |         89 |          2 |         13 |        104 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\staffer\staffer.component.html                            | HTML               |         59 |          3 |          1 |         63 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\staffer\staffer.component.scss                            | SCSS               |         61 |          0 |          7 |         68 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\staffer\staffer.component.spec.ts                         | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\staffer\staffer.component.ts                              | TypeScript         |         72 |          2 |         13 |         87 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\staffer\staffer.guard.spec.ts                             | TypeScript         |         12 |          0 |          5 |         17 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\staffer\staffer.guard.ts                                  | TypeScript         |         19 |         15 |          3 |         37 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\dashboard\dashboard-routing.module.ts                      | TypeScript         |          8 |          0 |          3 |         11 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\dashboard\dashboard.component.html                         | HTML               |          1 |          0 |          1 |          2 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\dashboard\dashboard.component.scss                         | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\dashboard\dashboard.component.spec.ts                      | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\dashboard\dashboard.component.ts                           | TypeScript         |         11 |          0 |          5 |         16 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\dashboard\dashboard.module.ts                              | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\main-routing.module.ts                                     | TypeScript         |         24 |          0 |          3 |         27 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\main.component.html                                        | HTML               |         92 |          2 |          1 |         95 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\main.component.scss                                        | SCSS               |         78 |          2 |         14 |         94 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\main.component.spec.ts                                     | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\main.component.ts                                          | TypeScript         |         32 |          0 |          6 |         38 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\main.module.ts                                             | TypeScript         |         24 |          3 |          4 |         31 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\color\color.component.html                      | HTML               |        102 |         49 |          1 |        152 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\color\color.component.scss                      | SCSS               |         35 |          1 |          8 |         44 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\color\color.component.spec.ts                   | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\color\color.component.ts                        | TypeScript         |        117 |         21 |         17 |        155 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\production-routing.module.ts                    | TypeScript         |         17 |          1 |          3 |         21 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\production.module.ts                            | TypeScript         |         48 |          0 |          5 |         53 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\schedule\schedule.component.html                | HTML               |         72 |          1 |          0 |         73 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\schedule\schedule.component.scss                | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\schedule\schedule.component.spec.ts             | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\schedule\schedule.component.ts                  | TypeScript         |         74 |          1 |         11 |         86 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\scheduleselect\scheduleselect.component.html    | HTML               |          1 |          0 |          1 |          2 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\scheduleselect\scheduleselect.component.scss    | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\scheduleselect\scheduleselect.component.spec.ts | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\scheduleselect\scheduleselect.component.ts      | TypeScript         |         33 |          0 |          6 |         39 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\technology\technology.component.html            | HTML               |         98 |          0 |          1 |         99 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\technology\technology.component.scss            | SCSS               |         35 |          1 |          8 |         44 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\technology\technology.component.spec.ts         | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\technology\technology.component.ts              | TypeScript         |        100 |          2 |         11 |        113 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\texture\texture.component.html                  | HTML               |        101 |         49 |          1 |        151 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\texture\texture.component.scss                  | SCSS               |         35 |          1 |          8 |         44 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\texture\texture.component.spec.ts               | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\texture\texture.component.ts                    | TypeScript         |        116 |         15 |         16 |        147 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\allorder\allorder.component.html                     | HTML               |         72 |          6 |          1 |         79 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\allorder\allorder.component.scss                     | SCSS               |         35 |          1 |          8 |         44 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\allorder\allorder.component.spec.ts                  | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\allorder\allorder.component.ts                       | TypeScript         |         56 |          1 |          5 |         62 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\client\client.component.html                         | HTML               |        100 |         49 |          1 |        150 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\client\client.component.scss                         | SCSS               |         25 |          1 |          6 |         32 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\client\client.component.spec.ts                      | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\client\client.component.ts                           | TypeScript         |         78 |          1 |          7 |         86 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\clientprice\clientprice.component.html               | HTML               |        136 |          9 |          1 |        146 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\clientprice\clientprice.component.scss               | SCSS               |         35 |          1 |          8 |         44 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\clientprice\clientprice.component.spec.ts            | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\clientprice\clientprice.component.ts                 | TypeScript         |         74 |          6 |         10 |         90 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\ordereditor\ordereditor.component.html               | HTML               |        175 |          8 |          1 |        184 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\ordereditor\ordereditor.component.scss               | SCSS               |         38 |          1 |          9 |         48 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\ordereditor\ordereditor.component.spec.ts            | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\ordereditor\ordereditor.component.ts                 | TypeScript         |        125 |          0 |         13 |        138 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\ordertypein\ordertypein.component.html               | HTML               |         97 |          1 |          1 |         99 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\ordertypein\ordertypein.component.scss               | SCSS               |         35 |          1 |          8 |         44 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\ordertypein\ordertypein.component.spec.ts            | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\ordertypein\ordertypein.component.ts                 | TypeScript         |        173 |          2 |         18 |        193 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\producteditor\producteditor.component.html           | HTML               |        193 |         53 |          1 |        247 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\producteditor\producteditor.component.scss           | SCSS               |         25 |          0 |          6 |         31 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\producteditor\producteditor.component.spec.ts        | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\producteditor\producteditor.component.ts             | TypeScript         |        145 |         27 |         20 |        192 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\sales-routing.module.ts                              | TypeScript         |         23 |          0 |          3 |         26 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\sales\sales.module.ts                                      | TypeScript         |         68 |          0 |          4 |         72 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\dashboard\dashboard.component.html                             | HTML               |          1 |          0 |          1 |          2 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\dashboard\dashboard.component.ts                               | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\exception\exception-routing.module.ts                          | TypeScript         |         15 |          0 |          4 |         19 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\exception\exception.component.ts                               | TypeScript         |         14 |          0 |          3 |         17 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\exception\exception.module.ts                                  | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\exception\trigger.component.ts                                 | TypeScript         |         30 |          1 |          5 |         36 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\passport\callback.component.ts                                 | TypeScript         |         31 |          0 |          5 |         36 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\passport\lock\lock.component.html                              | HTML               |         21 |          0 |          1 |         22 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\passport\lock\lock.component.less                              | Less               |         12 |          0 |          2 |         14 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\passport\lock\lock.component.ts                                | TypeScript         |         40 |          0 |          5 |         45 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\passport\login\login.component.html                            | HTML               |         74 |          0 |          1 |         75 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\passport\login\login.component.less                            | Less               |         52 |          0 |         12 |         64 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\passport\login\login.component.ts                              | TypeScript         |        169 |         12 |         16 |        197 |
| c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\passport\register-result\register-result.component.html        | HTML               |         13 |          0 |          1 |         14 |
